モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
1023,オークウォリアー,オーク戦士の証,9000,鉄,210,オリデオコン原石,40,バトルアックス [4],10,オーキッシュアックス,5,ラウンドバックラー [1],1,タバコ,3,オークウォリアーカード,1
1024,ワームテール,鱗の茎,5500,緑色のレース,100,黄ハーブ,70,イエローライブ,60,パイク [4],30,エンベルタコン,25,エメラルド,5,ワームテールカード,1
1025,スネイク,蛇の鱗,9000,毒の牙,800,赤ポーション,0,イチゴ,600,カタナ [4],15,エンベルタコン,35,輝く鱗,1,スネイクカード,1
1026,ムナック,ピッグテールリボン,9000,アドベンチャースーツ,100,返魂のお札,20,シューズ [1],15,少女の日記 [1],5,ムナック帽,2,忍者スーツ,1,ムナックカード,1
1028,ソルジャースケルトン,スケルボーン,5500,赤ハーブ,700,オリデオコン原石,60,スティレット [2],50,ダガー [3],12,死者の遺品,10,メイル [1],2,ソルジャースケルトンカード,1
1029,イシス,鱗のかけら,5335,輝く鱗,1000,ネックレス,1,ダイヤモンド２カラット,5,損傷したダイヤモンド,150,ダイヤモンド３カラット,20,サークレット [1],5,イシスカード,1
1030,アナコンダク,毒の牙,9000,毒の牙,9000,蛇の鱗,1500,鱗のかけら,200,白い粉,200,黄ポーション,0,オリデオコン原石,50,アナコンダクカード,1
1031,ポポリン,べとべとする液体,5500,ガレット,1500,緑ハーブ,500,リンゴ,5,ブドウ,200,リンゴ,5,マインゴーシュ [3],5,ポポリンカード,1
1032,ベリット,止まらない心臓,9000,ジャルゴン,700,白ハーブ,600,くさった包帯,1100,服従の腕輪,20,黒羽のマント,0,白羽のマント,0,ベリットカード,1
1033,エルダーウィロー,古木の露,9000,ファイアーボルトLv3,100,古木の枝,100,レッドブラッド,50,エルニウム原石,40,ウドゥンメイル [1],30,エルダーの枝,10,エルダーウィローカード,1
1034,タラフロッグ,かえるの卵,5500,べとべと水かき,2000,セルー,600,エンベルタコン,45,白ハーブ,30,サードオニキス,5,リンゴ,0,タラフロッグカード,1
1035,ハンターフライ,けっこうかたい皮,5335,ジャルゴン,1300,オリデオコン原石,129,鋼鉄,100,ラフウィンド,30,ダマスカス [2],30,プロペラ,10,ハンターフライカード,1
1036,グール,亡者の牙,6000,緑ハーブ,800,白ハーブ,700,死者の遺品,150,オリデオコン原石,110,骸骨の指輪,60,デスナイフ,1,グールカード,1
1037,サイドワインダー,毒の牙,2500,輝く鱗,5335,蛇の鱗,5000,ジャルゴン,1400,白ハーブ,1000,オリデオコン,0,ツルギ [2],2,サイドワインダーカード,1
1038,オシリス,古い紫色の箱,2000,聖痕,1000,ジャマダハル [1],600,クラウン,200,アサシンダガー,150,スフィンクス帽,150,チャクラム [2],100,オシリスカード,1
1039,バフォメット,エルニウム,5432,オリデオコン,4171,エンペリウム,500,クレセントサイダー,400,マジェスティックゴート,300,クレセントサイダー [1],50,マジェスティックゴート [1],10,バフォメットカード,1
1040,ゴーレム,岩の心臓,9000,鉄,350,ジャルゴン,220,イエロージェムストーン,200,鋼鉄,150,エルニウム原石,70,シルバーガード [1],10,ゴーレムカード,1
1041,マミー,くさった包帯,9000,黄ハーブ,850,死者の遺品,550,万能薬,250,オリデオコン原石,100,銀の指輪,10,グローブ,1,マミーカード,1
1042,スチールチョンチョン,かたい皮,9000,ガレット,2400,鉄鉱石,300,鉄,200,ウィンドオブヴェルデュール,90,鋼鉄,30,けっこうかたい皮,30,スチールチョンチョンカード,1
1044,オボンヌ,人魚の心臓,9000,万能薬,0,セイントローブ [1],10,しおれないバラ,30,ミスティックフローズン,13,アクアマリン,10,えらヘルム,1,オボンヌカード,1
1045,マルク,トゲがついているエラ,9000,背びれ,1000,白ハーブ,700,ブルージェムストーン,200,オリデオコン原石,95,ミスティックフローズン,18,アクアマリン,10,マルクカード,1
1046,ドッペルゲンガー,エルニウム,3686,オリデオコン,2700,ランス,0,シャープヘッドギア,350,プレート [1],250,ブロードソード [2],220,ツヴァイハンダー,150,ドッペルゲンガーカード,1
1047,ペコペコの卵,空きビン,1800,かたい皮,1500,赤ハーブ,400,赤ハーブ,400,プラコン,250,白い皿,10,ガード [1],2,ペコペコの卵カード,1
1048,盗蟲の卵,さなぎの皮,5000,べとべとする液体,600,プラコン,300,鉄鉱石,250,レッドジェムストーン,100,黒い杓子,10,ガード [1],2,盗蟲の卵カード,1
1049,ピッキ,鳥の羽毛,9000,やわらかな毛,700,赤ハーブ,550,ミルク,300,コットンシャツ [1],150,イエロージェムストーン,50,リンゴ,0,ピッキカード,1
1050,すごいピッキ,鳥の羽毛,9000,やわらかな毛,700,赤ハーブ,600,ミルク,300,イエロージェムストーン,50,小さな卵殻,10,装飾用卵殻,10,すごいピッキカード,1
1051,盗蟲,蟲の皮,2500,ゼロピー,2000,赤ハーブ,350,鉄鉱石,250,レザージャケット,120,レザージャケット [1],80,リンゴ,0,盗蟲カード,1
1052,ロッカー,バッタの足,9000,ジャベリン [4],80,ヒナレの葉,10,バッタ人形,10,ヒナレ,10,広大な大地のギター,10,緑の觸角,4,ロッカーカード,1
1053,雌盗蟲,蟲の皮,3500,赤ハーブ,400,鉄鉱石,300,ガレット,250,虫の觸角,200,レッドジェムストーン,50,ブレイド [4],15,雌盗蟲カード,1
1054,雄盗蟲,虫の觸角,5500,蟲の皮,1500,黄ハーブ,90,カタナ [3],50,エンベルタコン,40,スレイヤー [3],10,ジルコン,5,雄盗蟲カード,1
1055,ムカー,サボテンの針,9000,空きビン,2000,赤ハーブ,1000,緑ハーブ,400,鉄鉱石,250,イエローライブ,70,ギザルム [2],50,ムカーカード,1
1056,スモーキー,タヌキ木の葉,5500,獣の皮,5500,いも,800,ジャルゴン,5,ジルコン,2,タヌキ人形,2,猫耳のヘアバンド,1,スモーキーカード,1
1057,ヨーヨー,サルのしっぽ,9000,バナナ,1500,イチゴ,1000,カカオ,900,黄ハーブ,200,オリデオコン原石,24,サル人形,10,ヨーヨーカード,1
1058,メタルラ,バッタの足,6500,かたい皮,3000,セルー,400,レッドブラッド,60,エルニウム原石,49,歌う草,20,燃える情熱のギター,10,メタルラカード,1
1059,ミストレス,ハチ蜜,10000,エルニウム,4268,古いカード帖,1000,コロネット,250,グングニール,150,赤いスクエアバッグ [2],100,小さい枝,10,ミストレスカード,1
1060,ビッグフット,くまの足の裏,9000,獣の皮,5000,いも,1500,ハチ蜜,450,ぬいぐるみ,80,オリデオコン原石,43,あれ,5,ビッグフットカード,1
1061,ナイトメア,馬のひづめ,6000,青ハーブ,500,青ポーション,100,オリデオコン,60,古く青い箱,30,ロザリー,2,裏切り者,1,ナイトメアカード,1
1062,サンタポリン,キャンディ,2000,包装紙,1600,包装リボン,1600,スティックキャンディ,0,赤ハーブ,1000,プレゼントボックス（赤）,15,サンタのぼうし,100,サンタポリンカード,1
1063,ルナティック,クローバー,6500,リンゴ,2000,ニンジン,1100,やわらかな毛,1000,赤ハーブ,600,虹色ニンジン,20,ピエロの鼻,4,ルナティックカード,1
1064,メガロドン,くさった鱗,5500,スケルボーン,1500,ブルージェムストーン,120,青ハーブ,80,腐った魚,20,アメジスト,10,古く青い箱,2,メガロドンカード,1
1065,ストラウフ,背びれ,5335,やわらかな毛,3000,トゲがついているエラ,1500,オリデオコン原石,115,アクアマリン,20,メイル [1],2,トライデント [3],2,ストラウフカード,1
1066,バドン,かにニッパ,9000,ガレット,3000,ブルージェムストーン,50,けっこうかたい皮,100,アーマー [1],5,エルニウム原石,40,クリスタルブルー,40,バドンカード,1
1067,カナトウス,貝,5500,けっこうかたい皮,1000,セルー,800,ブルージェムストーン,100,エルニウム原石,53,クリスタルブルー,45,シールド [1],5,カナトウスカード,1
1068,ヒドラ,にく,5500,触手,5500,にく,5500,べとべとする液体,1500,エンベルタコン,25,ディトリミン,20,万能薬,5,ヒドラカード,1
1069,ソードフィッシュ,鋭い鱗,9000,トゲがついているエラ,600,エルニウム原石,50,オリデオコン原石,33,カタナ [4],25,ミスティックフローズン,10,真っ白いツノ,2,ソードフィッシュカード,1
1070,ククレ,蟲の皮,5500,赤ハーブ,650,化け物のエサ,500,虫の觸角,450,ガレット,400,クリスタルブルー,30,ハンサムな青年ミミズ,20,ククレカード,1
1071,パイレーツスケル,スケルボーン,3000,頭巾,250,ファルシオン [3],250,オリデオコン原石,43,よく乾いてるホネ,20,海賊の頭巾,15,料理本レベル6,5,パイレーツスケルカード,1
1072,カホ,燃えている心臓,3000,エルニウム原石,1000,レッドジェムストーン,300,石炭,150,ファイアーボルトLv3,100,フレイムハート,30,アルコール,5,カホカード,1
1073,カニ,かにのこうら,5500,かにニッパ,1500,石,700,エルニウム原石,37,星の粉,13,リンゴ,0,リンゴ,0,カニカード,1
1074,お化け貝,貝殻,5500,貝のむきみ,1000,砂のかけら,1000,石,500,エルニウム原石,18,星の粉,10,リンゴ,0,お化け貝カード,1
1076,スケルトン,ゼロピー,3000,赤ハーブ,850,スケルボーン,800,プラコン,90,メイス [4],80,骸骨の指輪,30,リンゴ,0,スケルトンカード,1
1077,ポイズンスポア,毒キノコの胞子,9000,きのこの胞子,1200,緑ハーブ,550,カルボーディル,50,青ハーブ,60,ハット [1],20,ジャルゴン,5,ポイズンスポアカード,1
1078,赤い草,赤ハーブ,5500,花,1000,若芽,1000,毒草ランタナ,1000,綿毛,500,植物の茎,500,メント,50,花びら,2
1079,青い草,青ハーブ,5500,花,1000,若芽,1000,毒草ネリウム,1000,ブドウ,1000,植物の茎,500,マステラの実,50,草の葉,2
1080,緑色草,緑ハーブ,7000,植物の茎,3000,鱗の茎,1500,毒草マキュラータ,1000,アロエ,50,アロエの葉,50,とても苦い草,20,草の葉,2
1081,黄色草,黄ハーブ,5500,花,1000,若芽,1000,毒草アモエナ,1000,綿毛,500,植物の茎,500,歌う草,5,花びら,2
1082,白い草,白ハーブ,5500,植物の茎,3000,毒草セラタム,1000,花,1000,アロエの葉,50,ヒナレ,50,猛毒草,20,花びら,2
1083,輝く草,青ハーブ,5500,黄ハーブ,1000,白ハーブ,1000,光の粒,500,イグドラシルの実,50,イグドラシルの種,20,幻想の花,5,エンペリウム,1
1084,黒いきのこ,きのこの胞子,5500,きのこの胞子,5500,毒キノコの胞子,5500,やわらかな毛,2000,クリスタルブルー,800,アルコール,50,ディトリミン,50,朝の露が宿っている苔,20
1085,赤いきのこ,きのこの胞子,5500,きのこの胞子,5500,毒キノコの胞子,5500,やわらかな毛,2000,レッドブラッド,1000,アルコール,50,カルボーディル,50,朝の露が宿っている苔,20
1086,黄金蟲,エルニウム,2000,オリデオコン,1500,黄金,1000,金の鈴,500,エンペリウム,300,ゴールデンヘッドギア,250,ゴールデンメイス [1],150,黄金蟲カード,1
1087,オークヒーロー,オーク勇者の証,9700,エルニウム,4559,オーキッシュソード,1000,サルのリング,500,シールド [1],250,ライトエプシロン,150,ギガントアックス [1],100,オークヒーローカード,1
1088,ボーカル,バッタの足,8000,バッタ人形,1500,天使の再来 [1],1000,エメラルド,1000,光の粒,1000,オールドスターロマンス,50,柔らかなそよ風のギター,10,ボーカルカード,1
1089,トード,ハチ蜜,2000,ジルコン,1000,天使の口づけ [1],1000,光の粒,0,アルコール,100,ディトリミン,100,大きなリボン,50,トードカード,1
1090,マスターリング,リンゴ,8000,リンゴジュース,4000,真珠,1000,天使の守護 [1],1000,光の粒,1000,真っ白いツノ,200,まだ熟してないリンゴ,50,マスターリングカード,1
1091,ドラゴンフライ,赤ハーブ,8000,クリップ [1],3000,ブドウジュース,3000,チョンチョン人形,2000,アメジスト,1500,スイートジェントル,200,錆びた鉄,50,ドラゴンフライカード,1
1092,さすらい狼,狼の爪,8000,トパーズ,1500,天使の温もり [1],1000,光の粒,0,ウェスタングレイス,200,スターダストブレイド [1],100,モンスタージュース,50,さすらい狼カード,1
1093,エクリプス,赤ハーブ,8000,オパール,1200,天使の加護 [1],1000,光の粒,1000,リボンのヘアバンド,200,虹色ニンジン,2500,四葉のクローバー,30,エクリプスカード,1
1094,アンバーナイト,カタシムリの皮,9000,かたい皮,3000,ガレット,1200,鉄鉱石,150,クリスタルブルー,50,エルニウム原石,14,けっこうかたい皮,2,アンバーナイトカード,1
1095,アンドレ,蟲の皮,9000,鉄,0,べとべとする液体,500,イエローライブ,50,星の粉,4,ガーネット,0,エルニウム原石,28,アンドレカード,1
1096,エンジェリング,白ハーブ,2000,イグドラシルの葉,500,天使のヘアバンド,100,スケーピューラ [1],60,エンペリウム,40,リンゴ,28,魂のリング,1,エンジェリングカード,1
1097,蟻の卵(変異種),かたい皮,2000,ゼロピー,2000,空きビン,2000,べとべとする液体,650,プラコン,320,鉄鉱石,200,リンゴ,0,アンドレの卵カード,1
1098,アヌビス,神官の仮面,4365,オリデオコン,105,治癒の杖,10,白羽のスーツ [1],5,神官の杖,3,ツタンカーメンマスク,1,神官の手袋,1,アヌビスカード,1
1099,アルギオペ,短い足,5335,緑ハーブ,1500,ジャルゴン,1200,エルニウム原石,175,アメジスト,10,ブーツ [1],5,リンゴ,0,アルギオペカード,1
1100,アルゴス,くもの糸,9000,くもの糸,9000,緑ポーション,0,短い足,500,黄ポーション,0,エルニウム原石,61,木のパンツ,15,アルゴスカード,1
1101,バフォメット.Jr,悪魔の角,500,黄ハーブ,1300,イグドラシルの葉,100,オリデオコン,63,イグドラシルの実,50,ブーツ,50,ハルバード [2],2,バフォメットジュニアカード,1
1102,バースリー,魔女の星の砂,4850,星の粉,200,星のかけら,30,古いホウキ,20,古い魔法書,15,アークワンド [2],5,ウィザードハット,3,バースリーカード,1
1103,キャラメル,ハリネズミの針,9000,獣の皮,5500,パイク [4],20,スピアー [4],15,グレイヴ [3],10,ロングコート [1],5,リンゴ,0,キャラメルカード,1
1104,コーコー,どんぐり,9000,綿毛,3000,獣の皮,2500,イチゴ,600,いも,500,サンダル [1],25,フード [1],20,コーコーカード,1
1105,デニーロ,蟲の皮,9000,ブリガン,0,べとべとする液体,1200,レッドブラッド,50,星の粉,8,ガーネット,0,エルニウム原石,34,アンドレカード,1
1106,デザートウルフ,砂漠狼の爪,5500,狼の爪,2000,狼の血,500,スティレット [3],140,オリデオコン原石,53,カタール [2],5,ミンクのコート [1],1,デザートウルフカード,1
1107,子デザートウルフ,獣の皮,5500,オレンジ,1000,狼の血,0,コットンシャツ,200,プラコン,85,アドベンチャースーツ [1],80,阿修羅 [3],5,子デザートウルフカード,1
1108,デビアス,古代魚の歯,9000,古代魚の唇,1000,ディトリミン,200,オリデオコン原石,161,ミスティックフローズン,25,冷たい氷柱のカタール,3,アンテナ,2,デビアスカード,1
1109,デビルチ,子悪魔の角,5335,ジャルゴン,1500,子悪魔の翼,400,オリデオコン原石,154,聖痕,5,オリデオコン,2,パルチザン [2],2,デビルチカード,1
1110,ドケビ,ドケビの角,9000,クラブ [3],300,エルニウム原石,150,鍛冶屋の金槌,5,ソードメイス [1],2,マイトスタッフ,1,黄金,1,ドケビカード,1
1111,ドレインリアー,赤いコウモリの翼,5500,こうもりの牙,3000,赤いコウモリの翼,5500,赤ハーブ,1000,エンベルタコン,60,オリデオコン原石,40,サードオニキス,20,ドレインリアーカード,1
1112,ドレイク,エルニウム,3200,環頭太刀 [3],950,サーベル [3],600,海東剣 [2],400,コルセア,350,カトラス,150,クラスナヤ [3],100,ドレイクカード,1
1113,ドロップス,ゼロピー,7500,空きビン,3400,リンゴ,1100,リンゴ,1100,べとべとする液体,500,ロッド [4],80,オレンジジュース,20,ドロップスカード,1
1114,ダスティネス,蛾の羽粉,9000,虫の觸角,2000,赤ハーブ,1200,蛾の羽,500,星の粉,10,蝶の仮面,4,リンゴ,0,ダスティネスカード,1
1115,エドガ,ハチ蜜,10000,エルニウム,2300,爆炎のカタール,500,虎の足裏,250,パイプタバコ,250,ファイアーブランド,150,クリーク [3],100,エドガカード,1
1116,エギラ,赤ハーブ,1000,セルー,1000,割れた卵のかけら,550,携帯卵孵化機,300,スピードアップポーション,250,エルニウム原石,57,装飾用卵殻,20,エギラカード,1
1117,イビルドルイド,白ハーブ,2000,イグドラシルの葉,200,ビレタ [1],10,バイブル [2],10,料理本レベル7,4,ぼろマント,2,骸骨の杖,1,イビルドルイドカード,1
1118,フローラ,食人植物の花,9000,植物の茎,2000,アロエの葉,50,歌う花,20,アロエ,10,装飾用ひまわり,3,しおれないバラ,1,フローラカード,1
1119,フリルドラ,トカゲの襟巻,5500,爬虫類の舌,1500,赤ハーブ,800,イエロージェムストーン,200,ジャルゴン,120,エルニウム原石,90,エメラルド,15,フリルドラカード,1
1120,ゴーストリング,透明な布,5335,古木の枝,500,亡者のヘアバンド,100,ソウルストライクLv5,100,シーフクロース [1],50,エンペリウム,30,古く青い箱,10,ゴーストリングカード,1
1121,ガイアス,年寄り妖精のひげ,5500,石炭,150,星の粉,100,グレイトネイチャ,30,キャップ [1],10,妖精の耳,1,リンゴ,0,ガイアスカード,1
1122,ゴブリン長男,セルー,9000,赤ハーブ,1800,鉄,270,オリデオコン原石,43,ダーク [3],10,バックラー [1],5,ゴブリン族の仮面,3,ゴブリンカード,1
1123,ゴブリン次男,セルー,9000,赤ハーブ,1550,鉄,250,フレイル [3],10,シルバーガード [1],5,インディアンのヘアバンド,3,ゴブリン族の仮面,3,ゴブリンカード,1
1124,ゴブリン三男,セルー,9000,赤ハーブ,1550,鉄,230,黄ハーブ,220,ゴブリン三男の仮面,15,バンダナ,3,バックラー [1],1,ゴブリンカード,1
1125,ゴブリン四男,赤ハーブ,1500,鉄,170,イエローライブ,100,ゴブリン四男の仮面,15,スマッシャー [3],10,シルバーガード [1],0,義賊の眼帯,3,ゴブリンカード,1
1126,ゴブリン五男,セルー,9000,赤ハーブ,1500,黄ハーブ,220,鉄,150,ゴブリン五男の仮面,15,ワンド [3],15,バックラー [1],1,ゴブリンカード,1
1127,ホード,ミミズの皮,9000,べとべとする液体,3000,イエローライブ,120,太っているミミズ,20,タウンソード [2],10,ロゼッタストーンの欠片,1,盲人の愚かさ,1,ホードカード,1
1128,ホルン,硬い角,5500,かたい皮,5500,イエローライブ,80,けっこうかたい皮,70,エンベルタコン,35,ギザルム [3],15,リンゴ,0,ホルンカード,1
1129,ホロン,炎の矢,10000,岩の心臓,6500,ジャルゴン,500,エルニウム原石,118,アルコール,50,焼きいも,20,導火線,5,ホロンカード,1
1130,ジャック,カボチャの頭,9000,カボチャ,1000,ジャルゴン,900,エルニウム,31,光の粒,200,タイツ [1],5,非情な心,5,ジャックカード,1
1131,ジョーカー,ジャルゴン,2000,黄ハーブ,1000,オリデオコン,100,ソウルストライクLv5,100,闇の契約書,20,古いカード帖,2,疾風のカタール,1,ジョーカーカード,1
1132,カーリッツバーグ,スケルボーン,8000,エルニウム,191,忠節の証,10,ウルズプレート,1,ミラーシールド [1],2,漆黒の鎧 [1],10,ボーンヘルム,1,カーリッツバーグカード,1
1133,アックスコボルド,コボルドの毛,5335,ジャルゴン,700,バックラー [1],5,鋼鉄,100,グラディウス [3],2,エルニウム原石,25,リンゴ,0,コボルドカード,1
1134,ハンマーコボルド,コボルドの毛,5335,ジャルゴン,200,ガード,100,バックラー [1],3,黄ハーブ,100,鋼鉄,100,リンゴ,0,コボルドカード,1
1135,メイスコボルド,コボルドの毛,5335,ジャルゴン,200,ハンマー [3],0,バックラー [1],3,黄ハーブ,100,鋼鉄,100,レッドブラッド,35,コボルドカード,1
1138,白蓮玉,古いフライパン,9000,ガレット,800,黄ハーブ,400,セルー,100,黒い杓子,40,ジャルゴン,10,高級調理器具,5,白蓮玉カード,1
1139,マンティス,かまきりの手,9000,セルー,1400,赤ハーブ,650,けっこうかたい皮,250,イエローライブ,110,エルニウム原石,70,エメラルド,10,マンティスカード,1
1140,マルドゥーク,神官の仮面,4365,ファイアーボルトLv5,100,悪魔召喚書,20,スタッフ [3],10,壊れた錫杖,0,神官の杖,3,神官の手袋,1,マルドゥークカード,1
1141,マリナ,単細胞,5000,にく,0,べとべとする液体,1500,ブルージェムストーン,200,クリスタルブルー,45,猛毒草,20,ミスティックフローズン,2,マリナカード,1
1142,マリンスフィアー,血管,5000,雷管,2500,ブドウ,0,ブルージェムストーン,150,透明な頭の防具,10,チェイン [3],10,アクアマリン,10,マリンスフィアーカード,1
1143,マリオネット,金色の髪,9000,ファイアーウォールLv5,100,チェイン [3],15,スターダスト,5,マリオネット人形 [1],3,ブローチ,1,ガラスの靴,1,マリオネットカード,1
1144,マルス,墨汁,9000,触手,3000,緑ポーション,0,ブルージェムストーン,200,ミスティックフローズン,12,アクアマリン,10,慧眼,5,マルスカード,1
1145,マーティン,土竜のひげ,9000,土竜の爪,500,ゴーグル,15,へこんだ鉄の鍋,10,ジュル [3],10,ゴーグル [1],5,工事帽,1,マーティンカード,1
1146,マーター,獣の皮,5500,化け物のエサ,5000,ペットフード,400,ブドウ,200,エルニウム原石,100,マーターの首輪,10,リンゴ,0,マーターカード,1
1147,マヤー,エルニウム,3500,女王の髪飾り,500,服従の腕輪,500,セイフティリング,200,ティアラ,200,スタッフオブティアー [1],100,母さんの悪夢,10,マヤーカード,1
1148,メデューサ,蛇模様の髪,5335,亀のこうら,3500,真珠,250,紅炎の鞭,250,家畜の血,200,海の魔女の足 [1],20,慧眼,3,メデューサカード,1
1149,ミノタウロス,鼻輪,5335,レモン,300,オリデオコン,0,鍛冶屋の金槌,10,牛カルビ,10,達人の斧 [2],200,ツーハンドアックス [2],2,ミノタウロスカード,1
1150,月夜花,エルニウム,2600,妖怪の槍,500,霊幻の鈴 [3],0,ロングメイス,150,スタッフオブオルド,100,月光剣,100,火雷大神靴 [1],0,月夜花カード,1
1151,ミスト,木屑,800,エルニウム原石,97,オリデオコン原石,65,アンティペインメント,20,ファッションカツラ,10,ガスマスク,2,リング,1,ミストカード,1
1152,オークスケルトン,オークの牙,5500,スケルボーン,3500,エルニウム原石,80,緑ハーブ,50,バスター [2],10,オーク族のヘルム,2,リンゴ,0,オークスケルトンカード,1
1153,オークゾンビ,オークの爪,5500,べとべとする液体,3000,エンペリウム,1,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,オークゾンビカード,1
1154,パサナ,壊れた剣,4365,蜜の瓶,2500,ファルシオン [4],500,スティレット [3],150,エルニウム,0,ランニングシャツ,100,リンゴ,0,パサナカード,1
1155,グラウンドプティット,ドラゴンの牙,5335,白ハーブ,1000,ドラゴンの尻尾,300,フレイル [2],150,オリデオコン原石,140,プティットの尻尾,10,アロエベラ,15,グラウンドプティットカード,1
1156,スカイプティット,ドラゴンの鱗,5335,白ハーブ,1000,ジャルゴン,1500,ドラゴンの尻尾,300,エルニウム,61,アロエベラ,15,黒麟,5,スカイプティットカード,1
1157,ファラオ,壊れた錫杖,5820,ツタンカーメンマスク,2500,ジュエルクラウン,500,タブレット [1],300,太陽剣,100,バゼラルド,80,アプローズサンダル [1],0,ファラオカード,1
1158,フェン,魚の尻尾,5500,にく,1000,にく,1000,鋭い鱗,2000,背びれ,500,オリデオコン原石,25,アクアマリン,5,フェンカード,1
1159,フリオニ,長く細い舌,9700,蟻の顎,5000,エルニウム,2900,フォーチュンソード,500,スクラッチマスク,300,スクサマッド,150,ヴァイナ [2],100,フリオニカード,1
1160,ピエール,蟲の皮,9000,サイファー,0,べとべとする液体,600,ウィンドオブヴェルデュール,30,星の粉,5,ガーネット,0,エルニウム原石,31,アンドレカード,1
1161,プランクトン,単細胞,9000,空きビン,1000,べとべとする液体,700,ガレット,300,スピードアップポーション,50,朝の露が宿っている苔,20,アルコール,4,プランクトンカード,1
1162,ラフレシア,食人植物の根,5500,セルー,1600,若芽,550,白ハーブ,30,メント,10,ヒナレ,10,四葉のクローバー,2,ラフレシアカード,1
1163,レイドリック,ブリガン,4850,エルニウム,106,ペオースプレート,1,忠節の証,10,メイル [1],2,ツーハンドソード [2],2,アイアンケイン,1,レイドリックカード,1
1164,レクイエム,死者の遺品,1500,亡者の牙,3500,メントル [1],10,エルニウム,0,料理本レベル6,1,古く青い箱,35,エンペリウム,1,レクイエムカード,1
1165,サンドマン,砂のかけら,5335,きれいな砂,350,星の粉,200,エルニウム原石,118,グレイトネイチャ,35,催眠術師の杖 [2],5,尖っているいばらのカタール,1,サンドマンカード,1
1166,サベージ,いのししのたてがみ,9000,ブドウ,300,エルニウム原石,70,サベージの肉,0,ローヤルゼリー,2,家畜の血,2,睨む目,1,サベージカード,1
1167,サベージベベ,獣の皮,9000,やわらかな毛,850,にく,500,アックス [4],100,プラコン,80,甘い牛乳,40,サベージの肉,5,サベージベベカード,1
