ID,完成アイテム名,作成方法,完成数,材料ID,材料アイテム名,必要数,触媒ID,触媒,スキル名,失敗,作成開始アイテムID,職制限,備考
12732,ペオースルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12733,ハガラズルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
22540,ラクスアニマルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12725,ナウシズルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12726,ライゾルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12727,ベルカナルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12728,イスルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12729,エイシルルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12730,ウルズルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12731,スリサズルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12732,ペオースルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12733,ハガラズルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
22540,ラクスアニマルーンストーン,1,1～3,12736,神秘のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12725,ナウシズルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12726,ライゾルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12727,ベルカナルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12728,イスルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12729,エイシルルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12730,ウルズルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12731,スリサズルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12732,ペオースルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12733,ハガラズルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
22540,ラクスアニマルーンストーン,1,1～3,12737,一般的なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12725,ナウシズルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12726,ライゾルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12727,ベルカナルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12728,イスルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12729,エイシルルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12730,ウルズルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12731,スリサズルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12732,ペオースルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12733,ハガラズルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
22540,ラクスアニマルーンストーン,1,1～3,12738,稀少なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12725,ナウシズルーンストーン,1,1～3,7069,壊れた鎧,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12726,ライゾルーンストーン,1,1～3,716,レッドジェムストーン,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12727,ベルカナルーンストーン,1,1～3,7210,デュラハンの鎧の欠片,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12728,イスルーンストーン,1,1～3,7097,燃えている心臓,2,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12729,エイシルルーンストーン,1,1～3,7002,オーガの牙,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12730,ウルズルーンストーン,1,1～3,1048,蛇模様の髪,2,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12731,スリサズルーンストーン,1,1～3,7030,砂漠狼の爪,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12732,ペオースルーンストーン,1,1～3,1035,ドラゴンの牙,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12733,ハガラズルーンストーン,1,1～3,7123,ドラゴンの皮,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
22540,ラクスアニマルーンストーン,1,1～3,714,エンペリウム,3,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12725,ナウシズルーンストーン,1,1～3,7099,古い魔法陣,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12726,ライゾルーンストーン,1,1～3,7938,光の粒,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12729,エイシルルーンストーン,1,1～3,7938,光の粒,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12730,ウルズルーンストーン,1,1～3,518,ハチ蜜,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12731,スリサズルーンストーン,1,1～3,1034,コボルドの毛,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12732,ペオースルーンストーン,1,1～3,7221,縛られた鎖,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12733,ハガラズルーンストーン,1,1～3,1096,丸形の皮,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
22540,ラクスアニマルーンストーン,1,1～3,7938,光の粒,3,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12725,ナウシズルーンストーン,1,1～3,7938,光の粒,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12732,ペオースルーンストーン,1,1～3,7938,光の粒,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
678,毒薬の瓶,0,1,713,空きビン,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,972,カルボーディル,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,952,サボテンの針,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,939,ハチの針,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,937,毒の牙,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,7033,毒キノコの胞子,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
678,毒薬の瓶,0,1,657,バーサークポーション,1,,,asc_cdp,1,,"アサシンクロス,ギロチンクロス",
12114,火属性コンバーター,0,1,904,サソリの尻尾,3,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12115,水属性コンバーター,0,1,946,カタシムリの皮,3,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12116,地属性コンバーター,0,1,947,硬い角,3,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12117,風属性コンバーター,0,1,1013,華麗な蟲の皮,3,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12114,火属性コンバーター,0,1,7433,白紙のスクロール,1,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12115,水属性コンバーター,0,1,7433,白紙のスクロール,1,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12116,地属性コンバーター,0,1,7433,白紙のスクロール,1,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
12117,風属性コンバーター,0,1,7433,白紙のスクロール,1,,,sa_createcon,0,,セージ系列,要クエ：コンバータ製造
1750,矢,0,7,902,木の根,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,4,909,ゼロピー,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,50,952,サボテンの針,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,40,1019,木屑,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,70,1027,ハリネズミの針,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,20,1067,硬い木屑,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,100,1095,時計の針,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,1000,2328,ウドゥンメイル,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,1000,2329,ウドゥンメイル [1],1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1750,矢,0,100,7150,竹筒,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,50,912,ジャルゴン,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,200,7435,金の腕輪,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,50,7448,黄の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,40,1011,エンベルタコン,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,40,1063,鋭い牙,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,700,2332,シルバーローブ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,1000,2333,シルバーローブ [1],1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1751,銀の矢,0,1000,2257,真っ白いツノ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,300,7451,火竜の鱗,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,100,7447,赤の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,600,990,レッドブラッド,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,1800,994,フレイムハート,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,3000,7035,マッチ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,250,7068,燃えた木,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,150,7097,燃えている心臓,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1752,炎の矢,0,100,7098,火種,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,30,7002,オーガの牙,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,7323,へこんだやかん,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,100,2618,マーターの首輪,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,200,2292,溶接マスク,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,200,757,エルニウム原石,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,8,911,セルー,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,5,922,オークの牙,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,968,オーク勇者の証,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,1000,985,エルニウム,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,100,999,鋼鉄,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,10,1043,オークの爪,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,20,1053,古代魚の歯,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,1064,馬の手綱,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,1098,手錠,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,250,7010,鋼鉄のようなサソリの尻尾,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,150,7069,壊れた鎧,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,100,7108,壊れた盾の欠片,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,100,7120,燃えている馬の蹄,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,200,2281,オペラ仮面,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,300,2288,スクラッチマスク,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,2408,足鎖,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,200,5014,えらヘルム,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,10,7123,ドラゴンの皮,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,7221,縛られた鎖,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,50,7318,古いつるはし,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1753,鋼鉄の矢,0,100,7319,古い鉄板,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,150,7562,氷の鱗,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,150,956,トゲがついているエラ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,50,7561,氷の心臓,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,50,7446,青の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,30,717,ブルージェムストーン,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,600,991,クリスタルブルー,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,1800,995,ミスティックフローズン,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,300,1053,古代魚の歯,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,300,7036,ハティーの牙,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,100,7066,氷片,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1754,水晶の矢,0,600,5014,えらヘルム,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1755,風の矢,0,150,2618,マーターの首輪,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1755,風の矢,0,50,7446,青の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1755,風の矢,0,600,992,ウィンドオブヴェルデュール,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1755,風の矢,0,1800,996,ラフウィンド,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1755,風の矢,0,200,7263,猫眼石,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,100,7445,緑の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,30,715,イエロージェムストーン,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,10,922,オークの牙,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,600,993,イエローライブ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,1800,997,グレイトネイチャ,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,60,1018,土竜の爪,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,30,1027,ハリネズミの針,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1756,岩石の矢,0,50,7067,石片,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,600,7510,ヴァルハラの花,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,50,7448,黄の宝玉,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,500,7450,骨の鎧の欠片,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,600,714,エンペリウム,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,10,2333,シルバーローブ [1],1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1757,無形の矢,0,300,7108,壊れた盾の欠片,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1758,スタンアロー,0,300,7451,火竜の鱗,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1758,スタンアロー,0,40,2292,溶接マスク,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
1758,スタンアロー,0,5,757,エルニウム原石,1,,,ac_makingarrow,0,,アーチャー系列,要クエ：矢作成
