モンスタID,モンスタ名,使用スキル名,スキルレベル
1140,マルドゥーク,npc_fireattack,1
1140,マルドゥーク,npc_magicalattack,1
1141,マリナ,npc_criticalslash,1
1141,マリナ,npc_emotion,1
1141,マリナ,npc_waterattack,2
1142,マリンスフィアー,npc_run,7
1142,マリンスフィアー,npc_selfdestruction,1
1142,マリンスフィアー,npc_speedup,?
1143,マリオネット,ht_freezingtrap,5
1143,マリオネット,mg_firewall,5
1143,マリオネット,npc_telekinesisattack,5
1144,マルス,npc_blindattack,5
1144,マルス,npc_emotion,1
1144,マルス,npc_waterattack,3
1145,マーティン,npc_groundattack,1
1145,マーティン,tf_hiding,1
1145,マーティン,tf_sprinklesand,1
1146,マーター,as_sonicblow,5
1146,マーター,npc_darknessattack,1
1146,マーター,npc_emotion,1
1147,マヤー,al_heal,11
1147,マヤー,al_teleport,1
1147,マヤー,cr_autoguard,10
1147,マヤー,kn_brandishspear,20
1147,マヤー,npc_armorbrake,10
1147,マヤー,npc_callslave,1
1147,マヤー,npc_guidedattack,5
1147,マヤー,npc_powerup,5
1147,マヤー,npc_summonslave,10
1147,マヤー,npc_summonslave,5
1147,マヤー,npc_widesilence,5
1147,マヤー,wz_heavendrive,5
1148,メデューサ,mg_stonecurse,10
1148,メデューサ,npc_emotion,1
1148,メデューサ,npc_petrifyattack,5
1149,ミノタウロス,al_teleport,1
1149,ミノタウロス,bs_hammerfall,3
1149,ミノタウロス,npc_emotion,1
1149,ミノタウロス,npc_fireattack,3
1149,ミノタウロス,wz_heavendrive,3
1150,月夜花,al_heal,11
1150,月夜花,al_teleport,1
1150,月夜花,bs_hammerfall,11
1150,月夜花,mc_mammonite,20
1150,月夜花,mg_coldbolt,5
1150,月夜花,mg_firebolt,5
1150,月夜花,mg_lightningbolt,5
1150,月夜花,npc_callslave,1
1150,月夜花,npc_guidedattack,5
1150,月夜花,npc_powerup,5
1150,月夜花,npc_summonslave,5
1150,月夜花,npc_summonslave,3
1150,月夜花,npc_widesilence,5
1150,月夜花,sa_dispell,5
1150,月夜花,sa_landprotector,1
1150,月夜花,st_fullstrip,5
1151,ミスト,npc_blindattack,5
1151,ミスト,npc_emotion,1
1151,ミスト,npc_mentalbreaker,2
1151,ミスト,npc_poisonattack,3
1152,オークスケルトン,npc_criticalslash,1
1152,オークスケルトン,npc_undeadattack,1
1153,オークゾンビ,npc_criticalslash,1
1153,オークゾンビ,npc_undeadattack,1
1154,パサナ,al_teleport,1
1154,パサナ,npc_comboattack,1
1154,パサナ,npc_criticalslash,1
1154,パサナ,npc_emotion,1
1154,パサナ,sm_bash,5
1155,グラウンドプティット,npc_emotion,1
1155,グラウンドプティット,npc_groundattack,3
1155,グラウンドプティット,npc_telekinesisattack,5
1156,スカイプティット,npc_emotion,1
1156,スカイプティット,npc_telekinesisattack,5
1156,スカイプティット,npc_windattack,3
1157,ファラオ,ac_chargearrow,1
1157,ファラオ,al_teleport,1
1157,ファラオ,mg_thunderstorm,?
1157,ファラオ,npc_callslave,1
1157,ファラオ,npc_darkblessing,1
1157,ファラオ,npc_darkstrike,10
1157,ファラオ,npc_energydrain,1
1157,ファラオ,npc_guidedattack,5
1157,ファラオ,npc_powerup,5
1157,ファラオ,npc_summonslave,6
1158,フェン,npc_provocation,1
1158,フェン,npc_waterattack,3
1159,フリオニ,al_heal,11
1159,フリオニ,al_teleport,1
1159,フリオニ,npc_callslave,1
1159,フリオニ,npc_guidedattack,5
1159,フリオニ,npc_helmbrake,10
1159,フリオニ,npc_lick,5
1159,フリオニ,npc_petrifyattack,5
1159,フリオニ,npc_powerup,5
1159,フリオニ,npc_summonslave,10
1159,フリオニ,npc_summonslave,6
1159,フリオニ,npc_widestone,5
1159,フリオニ,tf_hiding,1
1159,フリオニ,wz_heavendrive,5
1160,ピエール,npc_emotion,1
1160,ピエール,npc_groundattack,2
1161,プランクトン,npc_waterattack,1
1163,レイドリック,bs_maximize,5
1163,レイドリック,cr_autoguard,2
1163,レイドリック,npc_darknessattack,3
1163,レイドリック,npc_emotion,1
1163,レイドリック,sm_magnum,9
1164,レクイエム,npc_darknessattack,1
1164,レクイエム,npc_emotion,1
1164,レクイエム,npc_stunattack,3
1165,サンドマン,as_cloaking,1
1165,サンドマン,npc_groundattack,1
1165,サンドマン,tf_sprinklesand,1
1166,サベージ,al_incagi,1
1166,サベージ,npc_emotion,1
1166,サベージ,npc_groundattack,3
1167,サベージベベ,npc_emotion,1
1167,サベージベベ,npc_groundattack,1
1169,スケルワーカー,npc_criticalslash,1
1169,スケルワーカー,npc_emotion,1
1170,ソヒー,npc_emotion,1
1170,ソヒー,npc_stop,1
1170,ソヒー,npc_suicide,1
1170,ソヒー,npc_waterattack,3
1170,ソヒー,wz_waterball,?
1171,兵隊アンドレ,wz_earthspike,?
1172,兵隊デニーロ,wz_earthspike,?
1173,兵隊ピエール,wz_earthspike,?
1174,スタイナー,npc_keeping,1
1174,スタイナー,npc_silenceattack,2
1174,スタイナー,npc_windattack,1
1175,タロウ,npc_darknessattack,1
1175,タロウ,npc_poison,1
1176,ビタタ,am_potionpitcher,2
1176,ビタタ,npc_groundattack,1
1177,ゼノーク,npc_darknessattack,3
1177,ゼノーク,npc_emotion,1
1177,ゼノーク,npc_poison,2
1178,ゼロム,npc_emotion,1
1178,ゼロム,npc_fireattack,3
1179,ウィスパー,as_cloaking,1
1179,ウィスパー,mo_bodyrelocation,1
1179,ウィスパー,npc_emotion,1
1180,九尾狐,al_teleport,1
1180,九尾狐,npc_attrichange,1
1180,九尾狐,npc_emotion,1
1180,九尾狐,npc_randomattack,3
1185,ウィスパー(小),as_cloaking,1
1185,ウィスパー(小),mo_bodyrelocation,1
1185,ウィスパー(小),npc_emotion,1
1188,ボンゴン,kn_spearstab,5
1188,ボンゴン,npc_stunattack,3
1189,オークアーチャー,ac_shower,5
1189,オークアーチャー,ht_anklesnare,5
1189,オークアーチャー,npc_emotion,1
1189,オークアーチャー,npc_groundattack,2
1190,オークロード,al_heal,11
1190,オークロード,al_incagi,10
1190,オークロード,al_teleport,1
1190,オークロード,cr_shieldcharge,5
1190,オークロード,mg_coldbolt,10
1190,オークロード,mg_firebolt,10
1190,オークロード,npc_callslave,1
1190,オークロード,npc_earthquake,5
1190,オークロード,npc_groundattack,5
1190,オークロード,npc_powerup,5
1190,オークロード,npc_shieldbrake,10
1190,オークロード,npc_summonslave,6
1190,オークロード,npc_summonslave,5
1190,オークロード,pr_lexdivina,10
1190,オークロード,sm_provoke,10
1191,ミミック,cr_autoguard,2
1191,ミミック,npc_blooddrain,1
1191,ミミック,npc_emotion,1
1192,レイス,npc_blindattack,3
1192,レイス,npc_curseattack,3
1192,レイス,npc_energydrain,1
1193,アラーム,npc_blindattack,3
1193,アラーム,npc_darkbreath,2
1193,アラーム,npc_emotion,1
1193,アラーム,npc_splashattack,1
1194,アクラウス,al_teleport,1
1194,アクラウス,npc_emotion,1
1194,アクラウス,npc_expulsion,?
1194,アクラウス,npc_groundattack,1
1195,ライドワード,npc_blindattack,3
1195,ライドワード,npc_blooddrain,1
1195,ライドワード,npc_piercingatt,3
1196,スケルプリズナー,npc_criticalslash,1
1196,スケルプリズナー,npc_splashattack,1
1197,ゾンビプリズナー,npc_poison,3
1197,ゾンビプリズナー,npc_undeadattack,2
1198,ダークプリースト,mo_bodyrelocation,1
1198,ダークプリースト,npc_changeundead,5
1198,ダークプリースト,npc_darkbreath,5
1198,ダークプリースト,npc_darkcross,10
1198,ダークプリースト,npc_darknessattack,3
1199,パンク,npc_emotion,1
1199,パンク,npc_petrifyattack,3
1199,パンク,npc_windattack,1
1200,ジルタス,al_teleport,1
1200,ジルタス,as_sonicblow,10
1200,ジルタス,npc_emotion,1
1200,ジルタス,npc_guidedattack,3
1200,ジルタス,npc_lick,3
1200,ジルタス,npc_stop,1
1200,ジルタス,npc_summonslave,3
1201,リビオ,as_sonicblow,10
1201,リビオ,npc_poison,2
1201,リビオ,sm_provoke,10
1202,フェンダーク,npc_poison,2
1202,フェンダーク,npc_stunattack,3
1202,フェンダーク,npc_windattack,2
1203,ミステルテイン,bs_maximize,5
1203,ミステルテイン,cr_autoguard,10
1203,ミステルテイン,npc_darknessattack,3
1203,ミステルテイン,npc_guidedattack,1
1203,ミステルテイン,npc_shieldbrake,5
1204,オーガトゥース,as_sonicblow,10
1204,オーガトゥース,cr_autoguard,10
1204,オーガトゥース,npc_darknessattack,3
1204,オーガトゥース,npc_emotion,1
1204,オーガトゥース,npc_helmbrake,5
1204,オーガトゥース,npc_piercingatt,3
1205,エクスキューショナー,bs_maximize,5
1205,エクスキューショナー,cr_autoguard,10
1205,エクスキューショナー,npc_armorbrake,5
1205,エクスキューショナー,npc_darknessattack,1
1206,アノリアン,mg_sight,?
1206,アノリアン,npc_emotion,1
1206,アノリアン,npc_expulsion,?
1206,アノリアン,npc_waterattack,1
1206,アノリアン,sm_bash,5
1207,スティング,am_potionpitcher,4
1207,スティング,kn_spearstab,10
1207,スティング,npc_emotion,1
1207,スティング,npc_groundattack,3
1207,スティング,tf_hiding,1
1207,スティング,wz_quagmire,5
1208,彷徨う者,al_teleport,1
1208,彷徨う者,kn_autocounter,5
1208,彷徨う者,nj_issen,?
1208,彷徨う者,npc_emotion,1
1208,彷徨う者,npc_splashattack,1
1208,彷徨う者,npc_undeadattack,3
1208,彷徨う者,rg_intimidate,1
1209,クランプ,npc_poison,3
1209,クランプ,npc_poisonattack,1
1211,ブリライト,kn_twohandquicken,?
1211,ブリライト,npc_expulsion,?
1211,ブリライト,npc_fireattack,2
1211,ブリライト,npc_keeping,1
1211,ブリライト,npc_mentalbreaker,?
1211,ブリライト,npc_piercingatt,2
1211,ブリライト,npc_silenceattack,3
1213,ハイオーク,cr_shieldcharge,1
1213,ハイオーク,npc_emotion,1
1213,ハイオーク,npc_fireattack,2
1213,ハイオーク,npc_smoking,1
1214,チョコ,al_teleport,1
1214,チョコ,am_potionpitcher,1
1214,チョコ,ht_skidtrap,5
1214,チョコ,npc_emotion,1
1214,チョコ,npc_fireattack,1
1214,チョコ,npc_summonslave,3
1214,チョコ,sm_provoke,10
1214,チョコ,tf_throwstone,1
1215,ステムワーム,kn_spearboomerang,?
1215,ステムワーム,kn_twohandquicken,?
1215,ステムワーム,npc_emotion,?
1215,ステムワーム,npc_guidedattack,1
1215,ステムワーム,npc_metamorphosis,?
1215,ステムワーム,npc_windattack,3
1216,ペノメナ,npc_blooddrain,1
