モンスタID,モンスタ名,ひらがな名,Level,Hp,Str,Agi,Vit,Int,Dex,Luk,Atk1,Atk2,Def,Mdef,BaseExp,JobExp,Size,属性,種族,BOSS属性,MvpExp,アクティブ属性,リンク属性,詠唱反応,ルート属性,ニューマ有効,固定,召還モンスタ
1020,マンドラゴラ,まんどらごら,10,300,12,1,5,5,11,5,81,3,13,2,105,90,1,62,3,0,0,1,0,0,0,1,1,
1023,オークウォリアー,おーくうぉりあー,75,12000,12,15,24,15,16,10,63,33,52,3,7200,3600,1,22,7,0,0,1,0,0,0,0,0,
1024,ワームテール,わーむてーる,14,455,10,6,14,5,12,35,12,5,16,0,21,16,1,22,3,0,0,0,0,1,0,0,0,
1025,スネイク,すねいく,25,2469,8,8,18,10,14,15,47,5,9,8,1234,740,1,22,2,0,0,0,0,0,0,0,0,
1026,ムナック,むなっく,60,4922,22,9,25,10,30,10,121,30,77,15,812,252,1,29,1,0,0,1,0,0,0,0,0,
1028,ソルジャースケルトン,そるじゃーすけるとん,29,3920,4,10,32,5,29,3,87,14,53,5,2693,1081,1,29,1,0,0,1,0,0,0,0,0,
1029,イシス,いしす,77,42015,58,43,22,5,39,15,475,37,83,5,23108,14705,2,27,6,0,0,1,0,1,0,0,0,
1030,アナコンダク,あなこんだく,35,5500,31,46,28,43,56,25,152,55,92,0,3030,2020,1,25,2,0,0,0,0,1,0,0,0,
1031,ポポリン,ぽぽりん,14,494,17,26,20,18,36,5,11,20,36,17,172,148,1,25,3,0,0,0,0,0,1,0,0,
1032,ベリット,べりっと,78,45114,51,4,25,10,35,5,575,20,63,10,24812,15789,1,29,1,0,0,0,1,0,1,0,0,
1033,エルダーウィロー,えるだーうぃろー,20,1294,10,14,25,0,29,0,50,14,45,0,94,75,1,43,3,0,0,1,0,1,0,0,0,
1034,タラフロッグ,たらふろっぐ,43,1844,5,10,10,18,30,2,52,30,37,17,150,95,1,41,5,0,0,0,0,0,0,0,0,
1035,ハンターフライ,はんたーふらい,43,4493,32,72,22,25,79,15,344,20,46,20,1332,604,0,44,4,0,0,1,0,0,0,0,0,
1036,グール,ぐーる,52,7644,56,12,19,11,27,10,197,29,78,5,2675,2293,1,49,1,0,0,1,0,0,0,0,0,
1037,サイドワインダー,さいどわいんだー,102,92240,52,32,35,20,166,15,714,30,101,12,55344,41508,1,25,2,0,0,1,0,1,0,0,0,
1038,オシリス,おしりす,78,1015400,97,99,86,131,145,67,2146,903,172,164,105684,47836,1,89,1,1,35750,1,0,1,0,0,0,1522(5)
1039,バフォメット,ばふぉめっと,111,666666,120,125,30,85,155,85,1956,1284,279,45,146348,111898,2,67,6,1,53625,1,0,1,0,0,0,1431(6)
1040,ゴーレム,ごーれむ,20,3686,70,27,67,5,21,5,256,25,184,12,670,3,2,60,0,0,0,0,0,1,0,0,0,
1041,マミー,まみー,52,6211,54,4,14,1,62,0,214,21,95,3,3716,2473,1,49,1,0,0,1,0,0,0,0,0,
1042,スチールチョンチョン,すちーるちょんちょん,17,454,15,62,20,10,56,10,34,35,57,20,31,12,0,24,4,0,0,0,1,0,1,0,0,
1044,オボンヌ,おぼんぬ,65,12840,14,27,14,40,26,15,168,22,8,6,5778,5136,1,41,5,0,0,1,0,1,0,0,0,1522(5)
1045,マルク,まるく,80,18966,25,19,22,35,28,12,240,28,55,14,8534,7586,1,41,5,0,0,1,0,0,0,0,0,1194(3)
1046,ドッペルゲンガー,どっぺるげんがー,72,749000,122,122,105,67,169,72,2026,1176,246,86,51856,22097,1,67,6,1,25740,1,0,1,0,0,0,1427(1)
1047,ペコペコの卵,ぺこぺこのたまご,3,310,4,10,4,8,10,5,3,0,5,5,3,4,0,60,0,0,0,0,0,0,0,0,1,
1048,盗蟲の卵,とうちゅうのたまご,4,1560,10,1,5,0,3,15,5,1,6,10,15,20,0,27,4,0,0,0,0,0,0,0,1,
1049,ピッキ,ぴっき,3,119,14,9,10,0,10,3,3,1,21,3,3,2,0,23,2,0,0,0,0,0,0,0,0,
1050,すごいピッキ,すごいぴっき,4,121,15,8,10,5,9,3,4,20,38,10,5,4,0,23,2,0,0,0,0,0,0,0,0,
1051,盗蟲,とうちゅう,6,216,19,13,10,0,12,5,6,5,24,3,7,8,0,60,4,0,0,0,1,0,1,0,0,
1052,ロッカー,ろっかー,8,329,12,18,8,10,17,5,8,5,16,3,8,6,1,22,4,0,0,0,0,0,0,0,0,
1053,雌盗蟲,めすとうちゅう,35,2072,12,23,23,10,24,10,36,16,28,7,237,90,1,27,4,0,0,0,1,0,1,0,0,
1054,雄盗蟲,おすとうちゅう,44,4999,35,32,22,5,32,13,103,21,40,20,880,424,1,27,4,0,0,1,0,0,0,0,0,
1055,ムカー,むかー,12,523,8,9,28,5,43,5,15,9,28,0,27,11,2,22,3,0,0,0,0,0,0,0,0,
1056,スモーキー,すもーきー,21,790,6,34,16,5,27,5,40,11,26,0,52,32,0,22,2,0,0,0,0,1,0,0,0,
1057,ヨーヨー,よーよー,26,849,20,11,34,20,19,10,57,11,10,0,59,25,0,22,2,0,0,0,1,0,1,0,0,
1058,メタルラ,めたるら,22,1794,26,24,10,0,47,31,62,41,72,12,136,72,1,23,4,0,0,0,1,0,1,0,0,
1059,ミストレス,みすとれす,94,1212000,76,186,88,113,172,79,2500,2367,187,192,131403,62888,0,84,4,1,19662,1,0,1,0,0,0,1466(5)/1604(5)
1060,ビッグフット,びっぐふっと,25,1387,18,4,7,0,12,0,75,12,55,7,101,39,2,22,2,0,0,0,0,1,0,0,0,
1061,ナイトメア,ないとめあ,55,19606,27,32,20,15,70,15,269,62,116,15,7842,8234,2,68,6,0,0,1,0,1,0,0,0,
1062,サンタポリン,さんたぽりん,3,130,1,14,3,10,12,90,4,4,0,0,3,2,1,26,3,0,0,0,0,0,0,0,0,
1063,ルナティック,るなてぃっく,3,260,10,3,3,0,8,5,4,1,18,0,5,3,0,60,2,0,0,0,0,0,0,0,0,
1064,メガロドン,めがろどん,24,1412,25,24,30,28,29,15,51,32,52,28,53,78,1,29,1,0,0,0,0,0,0,0,0,
1065,ストラウフ,すとらうふ,79,17517,34,11,31,20,33,20,132,127,47,10,7882,7006,2,61,5,0,0,1,0,0,0,0,0,
1066,バドン,ばどん,49,8676,9,16,18,10,3,15,282,25,24,2,3904,3470,0,21,5,0,0,0,0,1,0,0,0,
1067,カナトウス,かなとうす,55,9522,21,12,10,0,12,20,112,18,30,10,4284,3808,0,21,5,0,0,0,0,1,0,0,0,
1068,ヒドラ,ひどら,22,500,6,0,4,0,22,2,34,6,0,0,250,200,0,41,3,0,0,1,0,0,0,1,1,
1069,ソードフィッシュ,そーどふぃっしゅ,78,16085,45,13,25,5,40,15,244,7,47,12,7238,6434,2,41,5,0,0,1,0,0,0,0,0,
1070,ククレ,くくれ,15,124,7,9,0,0,9,0,12,4,0,0,62,49,0,21,5,0,0,0,0,0,1,0,0,2277(3)
1071,パイレーツスケル,ぱいれーつすける,25,1436,15,5,25,1,30,10,59,20,20,0,84,72,1,29,1,0,0,1,0,0,0,0,0,
1072,カホ,かほ,72,7207,81,61,55,65,66,73,498,224,106,55,4091,2487,1,83,6,0,0,1,0,0,0,0,0,
1073,カニ,かに,20,921,17,14,24,7,28,15,54,10,36,11,40,24,0,21,5,0,0,0,0,0,0,0,0,
1074,お化け貝,おばけがい,15,789,12,11,48,25,26,10,24,22,43,5,30,17,0,21,5,0,0,0,0,1,0,0,0,
1076,スケルトン,すけるとん,10,350,18,15,30,5,19,1,10,24,21,2,18,7,1,29,1,0,0,0,0,1,0,0,0,
1077,ポイズンスポア,ぽいずんすぽあ,19,970,9,17,22,5,20,5,70,15,40,8,339,291,1,25,3,0,0,1,0,0,0,0,0,
1078,赤い草,あかいくさ,1,12,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1079,青い草,あおいくさ,1,12,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1080,緑色草,りょくしょくそう,1,12,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,0,
1081,黄色草,きいろそう,1,12,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,3613(1)/3614(1)/3615(1)/3616(1)/3618(1)/3619(1)
1082,白い草,しろいくさ,1,12,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1083,輝く草,かがやくくさ,1,24,0,0,0,0,0,90,1,1,100,99,0,0,0,26,3,0,0,0,0,0,0,0,0,
1084,黒いきのこ,くろいきのこ,1,18,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1085,赤いきのこ,あかいきのこ,1,18,0,0,0,0,0,0,1,1,100,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1086,黄金蟲,おうごんちゅう,64,645600,71,77,80,62,127,76,685,843,159,81,22170,11242,2,43,4,1,7150,0,1,0,1,0,0,1608(10)
1087,オークヒーロー,おーくひーろー,81,985700,97,82,107,71,144,43,2690,441,197,70,105303,49680,2,42,7,1,29315,1,0,1,0,0,0,1439(8)
1088,ボーカル,ぼーかる,42,4585,77,26,26,30,53,40,132,11,77,26,6480,3390,1,22,4,1,0,1,0,1,0,0,0,1052(5)
1089,トード,とーど,42,5065,32,19,27,10,24,5,101,19,24,6,6450,3120,1,21,5,1,0,1,0,1,0,0,0,1012(5)
1090,マスターリング,ますたーりんぐ,42,3978,35,21,41,12,29,60,100,40,48,31,6240,3150,1,21,3,1,0,1,0,1,0,0,0,1002(3)/1113(2)
1091,ドラゴンフライ,どらごんふらい,42,3608,37,44,30,15,44,15,131,33,57,28,6390,3240,0,24,4,1,0,1,0,1,0,0,0,1011(5)
1092,さすらい狼,さすらいおおかみ,42,4980,72,63,55,29,90,15,145,46,102,51,7110,3780,1,22,2,1,0,1,0,1,0,0,0,1013(5)
1093,エクリプス,えくりぷす,42,4350,20,28,35,17,27,55,111,20,50,20,6270,3240,1,60,2,1,0,1,0,1,0,0,0,1063(5)
1094,アンバーナイト,あんばーないと,13,424,16,20,11,10,21,5,11,11,28,0,20,15,2,21,4,0,0,0,0,1,0,0,0,
1095,アンドレ,あんどれ,74,14952,212,20,200,212,24,10,226,21,226,0,8971,6728,0,22,4,0,0,0,1,0,1,0,0,
1096,エンジェリング,えんじぇりんぐ,77,65000,58,50,33,105,67,200,415,145,72,238,8024,8021,1,86,8,1,0,1,0,1,0,0,0,1031(3)/1062(2)
1097,蟻の卵(変異種),ありのたまご(へんいしゅ),4,663,5,1,65,5,10,30,4,1,68,45,4,5,0,60,0,0,0,0,0,0,0,0,1,
1098,アヌビス,あぬびす,120,195426,88,67,40,128,89,55,759,215,103,48,88856,59313,2,49,7,0,0,1,0,1,0,0,0,
1099,アルギオペ,あるぎおぺ,46,4756,30,23,40,30,20,30,172,50,138,2,436,248,2,25,4,0,0,1,0,1,0,0,0,1110(2)
1100,アルゴス,あるごす,43,3957,18,17,25,5,26,15,65,33,58,8,2129,1348,2,25,4,0,0,1,0,1,0,0,0,1477(2)/1474(2)/1438(1)
1101,バフォメット.Jr,ばふぉめっとじゅにあ,91,17352,52,14,36,5,52,25,414,175,30,25,3962,2909,0,27,6,0,0,1,0,1,0,0,0,1606(5)
1102,バースリー,ばーすりー,80,4885,24,16,10,11,20,41,309,121,39,49,2530,2015,1,27,7,0,0,1,0,1,0,0,0,
1103,キャラメル,きゃらめる,27,832,9,15,15,10,32,5,57,9,59,0,60,25,0,22,2,0,0,0,0,1,0,0,0,
1104,コーコー,こーこー,17,750,12,23,30,20,38,10,30,11,37,0,43,18,0,22,2,0,0,0,0,1,0,0,0,1133(2)/1134(1)/1135(1)/1282(1)
1105,デニーロ,でにーろ,76,19378,287,16,300,287,23,15,324,16,224,0,9882,6782,0,22,4,0,0,0,1,0,1,0,0,
1106,デザートウルフ,でざーとうるふ,42,3471,33,19,63,61,42,42,117,59,114,47,315,137,1,23,2,0,0,1,0,0,0,0,0,
1107,子デザートウルフ,こでざーとうるふ,9,361,10,12,8,5,17,7,9,8,13,0,9,7,0,23,2,0,0,0,1,0,0,0,0,1531(4)/1564(1)
1108,デビアス,でびあす,82,39158,27,26,32,25,28,15,380,31,51,16,19579,21536,1,81,5,0,0,0,0,1,0,0,0,
1109,デビルチ,でびるち,86,15998,15,49,30,85,99,5,559,182,72,16,7999,8798,0,27,6,0,0,1,0,1,0,0,0,
1110,ドケビ,どけび,58,4622,52,26,35,20,30,25,222,30,85,20,799,271,0,27,6,0,0,0,0,1,0,0,0,
1111,ドレインリアー,どれいんりあー,24,3333,17,34,24,22,50,20,54,42,50,15,999,833,0,47,2,0,0,1,0,1,0,0,0,
1112,ドレイク,どれいく,70,826666,121,103,114,107,135,71,1538,1403,279,135,42718,19394,1,29,1,1,14300,1,0,1,0,0,0,1475(5)/1566(5)
1113,ドロップス,どろっぷす,3,102,8,1,1,0,6,2,3,1,16,0,3,2,1,23,3,0,0,0,0,0,1,0,0,
1114,ダスティネス,だすてぃねす,21,694,11,36,46,60,38,15,39,31,69,50,56,23,0,44,4,0,0,0,0,1,0,0,0,
1115,エドガ,えどが,65,752000,92,80,103,66,90,85,854,476,166,70,25687,12952,2,23,2,1,12512,1,0,1,0,0,0,1603(8)
1116,エギラ,えぎら,34,5252,36,25,45,15,22,20,315,40,100,20,228,613,1,48,0,0,0,0,0,1,0,0,0,
1117,イビルドルイド,いびるどるいど,98,140148,62,32,24,45,71,5,1930,168,88,85,21939,9306,2,89,1,0,0,1,0,1,0,0,0,
1118,フローラ,ふろーら,30,1000,49,5,35,5,33,80,245,31,99,29,120,60,2,22,3,0,0,1,0,0,0,0,0,
1119,フリルドラ,ふりるどら,30,3734,18,38,38,15,46,30,93,42,84,10,281,96,1,23,2,0,0,0,0,1,0,0,0,
1120,ゴーストリング,ごーすとりんぐ,77,73300,66,85,66,66,99,66,425,162,88,72,8150,8160,1,88,6,1,0,1,0,1,0,0,0,1599(5)
1121,ガイアス,がいあす,34,2393,7,18,30,10,18,15,68,15,52,16,168,98,0,22,6,0,0,0,0,1,0,0,0,
1122,ゴブリン長男,ごぶりんちょうなん(けん),55,6008,17,21,25,20,21,10,204,34,56,5,734,266,1,24,7,0,0,1,0,1,0,0,0,1149(2)
1123,ゴブリン次男,ごぶりんじなん(くさり),54,5685,16,3,24,15,23,10,72,28,52,5,641,249,1,23,7,0,0,1,0,1,0,0,0,
1124,ゴブリン三男,ごぶりんさんなん(おの),53,5886,15,5,24,15,7,10,89,33,47,5,665,251,1,25,7,0,0,1,0,0,0,0,0,
1125,ゴブリン四男,ごぶりんよんなん(つい),52,6664,11,7,46,15,14,10,93,22,70,3,657,260,1,22,7,0,0,1,0,0,0,0,0,
1126,ゴブリン五男,ごぶりんごなん(いが),51,7173,21,17,22,15,18,10,52,31,64,5,610,259,1,21,7,0,0,1,0,0,0,0,0,
1127,ホード,ほーど,36,4956,11,6,42,5,9,40,375,45,11,4,601,472,1,42,2,0,0,0,0,0,0,0,0,
1128,ホルン,ほるん,18,790,10,12,36,25,21,35,33,11,52,8,45,21,1,22,4,0,0,0,0,1,0,0,0,
1129,ホロン,ほろん,74,9661,36,32,35,45,56,25,424,70,352,35,1475,470,0,83,0,0,0,1,0,0,0,0,0,
1130,ジャック,じゃっく,56,11111,58,43,42,25,55,15,228,37,90,25,3888,3333,1,43,0,0,0,1,0,1,0,0,0,
1131,ジョーカー,じょーかー,80,5382,24,111,1,10,41,25,776,86,14,16,2420,2125,2,84,7,0,0,1,0,1,0,0,0,
1132,カーリッツバーグ,かーりっつばーぐ,118,36522,121,48,40,31,89,32,1235,96,125,10,18473,11094,2,29,1,0,0,1,0,1,0,0,0,
1133,アックスコボルド,あっくすこぼるど,55,7336,109,31,61,53,52,30,203,87,103,25,950,388,1,44,7,0,0,1,0,0,0,0,0,
1134,ハンマーコボルド,はんまーこぼるど,53,6187,40,21,55,48,49,20,185,62,117,59,850,356,1,45,7,0,0,1,0,0,0,0,0,
1135,メイスコボルド,めいすこぼるど,51,5980,50,24,59,42,37,20,167,64,109,48,805,344,1,43,7,0,0,1,0,0,0,0,0,
1138,白蓮玉,びゃくれんだま,46,6739,19,25,21,50,28,85,174,215,51,8,519,200,0,21,6,0,0,0,0,0,1,0,0,
1139,マンティス,まんてぃす,44,4019,25,33,24,5,42,15,72,31,90,0,153,53,1,22,4,0,0,1,0,1,0,0,0,
1140,マルドゥーク,まるどぅーく,98,27222,66,49,21,40,66,25,484,112,66,43,14972,9527,2,23,7,0,0,1,0,1,0,0,0,
1141,マリナ,まりな,45,3140,4,12,23,12,19,5,72,13,5,5,1318,1256,0,41,3,0,0,0,0,0,0,0,0,
1142,マリンスフィアー,まりんすふぃあー,70,20853,5,16,24,25,26,5,200,25,41,28,9383,8341,0,41,3,0,0,0,0,0,0,0,0,
1143,マリオネット,まりおねっと,56,15761,22,79,28,105,72,20,274,190,35,24,6304,6619,0,68,6,0,0,1,0,1,0,0,0,
1144,マルス,まるす,60,9204,11,17,25,10,33,10,136,21,16,8,4141,3681,0,41,5,0,0,0,0,1,0,0,0,
1145,マーティン,まーてぃん,31,1969,15,25,28,15,30,10,64,18,58,19,119,50,0,42,2,0,0,0,0,0,0,0,0,3607(1)/3608(1)/3609(1)/3611(1)/3612(1)
1146,マーター,まーたー,52,9324,92,20,21,17,143,10,18,26,63,5,6993,5128,1,27,2,0,0,1,0,1,0,0,0,
1147,マヤー,まやー,109,1469000,88,72,76,102,92,76,3276,2650,183,50,341904,161384,2,82,4,1,21450,1,0,1,0,0,0,1477(5)
1148,メデューサ,めでゅーさ,95,24064,99,68,65,79,69,15,805,113,87,66,8647,4679,1,40,6,0,0,1,0,1,0,0,0,
1149,ミノタウロス,みのたうろす,72,20380,65,42,36,43,55,25,529,36,100,0,14285,11464,2,43,2,1,0,1,0,1,0,0,0,
1150,月夜花,うぉるやふぃー,69,720000,86,102,93,82,131,120,1222,1251,154,81,24854,12684,1,63,6,1,13750,1,0,1,0,0,0,1471(5)
1151,ミスト,みすと,28,1210,15,17,20,10,41,10,76,20,61,10,116,41,2,25,0,0,0,1,0,1,0,0,0,
1152,オークスケルトン,おーくすけるとん,41,2952,32,16,24,5,22,5,172,25,32,40,281,95,1,29,1,0,0,1,0,0,0,0,0,
1153,オークゾンビ,おーくぞんび,39,1944,27,17,32,5,52,5,169,15,21,45,189,60,1,29,1,0,0,1,0,0,0,0,0,1560(5)
1154,パサナ,ぱさな,97,56312,76,36,33,20,67,5,621,40,93,35,34121,20524,1,43,7,0,0,1,0,1,0,0,0,1759(1)/1757(1)/1760(1)/1758(1)
1155,グラウンドプティット,ぐらうんどぷてぃっと,80,7327,30,4,10,10,52,15,297,143,160,10,2907,1638,1,22,9,0,0,1,0,1,0,0,0,
1156,スカイプティット,すかいぷてぃっと,80,5862,30,34,10,10,40,15,295,141,140,20,2898,1647,1,24,9,0,0,1,0,1,0,0,0,
1157,ファラオ,ふぁらお,98,1445997,98,102,96,142,144,102,3391,1782,124,269,155739,74000,2,67,7,1,57495,1,0,1,0,0,0,1458(3)/1464(3)
1158,フェン,ふぇん,73,15155,24,10,35,18,25,15,187,24,44,11,6819,6062,1,41,5,0,0,0,0,1,0,0,0,
1159,フリオニ,ふりおに,79,888000,88,70,112,87,102,71,2537,967,269,98,93162,42380,2,60,2,1,16087,1,0,1,0,0,0,1558(6)
1160,ピエール,ぴえーる,75,17174,249,19,250,249,27,15,275,20,225,0,9445,6869,0,22,4,0,0,0,1,0,1,0,0,
1161,プランクトン,ぷらんくとん,40,3204,6,16,9,7,12,4,24,9,8,8,1345,1281,0,61,3,0,0,0,0,0,0,0,0,
1162,ラフレシア,らふれしあ,77,70780,17,33,44,29,44,31,175,41,46,2,7777,7777,0,22,3,0,0,1,0,0,0,0,0,
1163,レイドリック,れいどりっく,78,9335,129,68,55,32,71,27,453,96,49,15,4310,3900,2,47,7,0,0,1,0,1,0,0,0,
1164,レクイエム,れくいえむ,71,25294,38,34,35,12,42,10,293,48,88,20,15176,11382,1,27,7,0,0,1,0,0,0,0,0,
1165,サンドマン,さんどまん,41,3625,44,38,55,15,51,25,115,56,126,14,274,97,1,62,0,0,0,1,0,0,0,0,0,
1166,サベージ,さべーじ,28,1882,56,21,54,10,47,15,66,23,126,3,128,66,2,42,2,0,0,0,0,1,0,0,0,
1167,サベージベベ,さべーじべべ,7,306,16,8,9,5,21,18,7,6,22,0,8,5,0,22,2,0,0,0,0,0,0,0,0,
1169,スケルワーカー,すけるわーかー,33,2461,11,13,22,10,37,25,57,12,45,5,145,79,1,29,1,0,0,1,0,0,0,0,0,
1170,ソヒー,そひー,53,8442,61,24,29,20,37,25,325,130,61,21,1390,453,1,21,6,0,0,0,0,1,0,0,0,
1171,兵隊アンドレ,へいたいあんどれ,94,77802,40,48,75,39,111,40,206,1390,332,0,93362,46680,1,42,4,0,0,0,1,0,1,0,0,
1172,兵隊デニーロ,へいたいでにーろ,98,90278,45,50,81,42,119,45,402,1380,332,0,108332,54166,1,42,4,0,0,0,1,0,1,0,0,
1173,兵隊ピエール,へいたいぴえーる,96,85670,42,49,78,38,115,45,254,1385,332,0,102804,51402,1,42,4,0,0,0,1,0,1,0,0,
1174,スタイナー,すたいなー,16,545,10,40,24,0,29,15,41,9,22,25,38,28,0,24,4,0,0,0,0,1,0,0,0,
1175,タロウ,たろう,30,9192,18,16,12,0,32,1,53,6,53,5,749,482,0,27,2,0,0,0,0,1,0,0,0,
1176,ビタタ,びたた,77,21552,333,11,350,333,21,5,123,18,223,0,11853,9698,0,22,4,0,0,0,0,1,0,0,0,
1177,ゼノーク,ぜのーく,52,8910,40,13,20,19,49,5,235,41,42,5,864,292,1,27,7,0,0,0,0,0,1,0,0,
1178,ゼロム,ぜろむ,32,12250,15,49,30,15,56,20,63,38,93,15,7350,5512,1,23,7,0,0,1,0,0,0,0,0,
1179,ウィスパー,うぃすぱー,45,5756,10,13,10,3,17,3,104,16,15,14,2014,2417,0,68,6,0,0,1,0,1,0,0,0,
1180,九尾狐,くみほ,98,27556,61,38,30,20,88,50,517,50,95,100,13810,8957,1,63,2,0,0,1,0,1,0,0,0,
1182,キノコ,きのこ(しーふ),1,12,0,0,0,0,0,0,1,1,160,99,0,0,0,22,3,0,0,0,0,0,0,0,1,
1183,チョンチョン(転職場),ちょんちょん(てんしょくじょう),4,190,13,4,4,0,7,5,4,3,29,0,4,3,0,24,4,0,0,1,0,0,0,0,0,
1184,ファブル(転職場),ふぁぶる(しゅうれんしょ),1,75,12,5,5,5,12,5,2,3,24,0,2,1,0,22,4,0,0,1,0,0,0,0,0,
1185,ウィスパー(転職場),うぃすぱーしょう,45,1439,10,13,10,3,17,3,104,16,15,14,204,252,0,68,1,0,0,0,0,0,0,0,1,
1186,巨大ウィスパー,きょだいうぃすぱー,64,19320,40,79,44,51,67,31,129,59,94,45,16280,4700,0,48,6,0,0,1,0,1,0,0,0,
1188,ボンゴン,ぼんごん,62,6034,55,24,24,5,34,10,132,29,88,5,913,283,1,29,1,0,0,1,0,1,0,0,0,
1189,オークアーチャー,おーくあーちゃー,37,16577,55,32,24,30,99,15,128,43,67,31,9946,4973,1,22,7,0,0,1,0,1,0,1,0,
1190,オークロード,おーくろーど,86,983000,95,95,103,96,155,85,2943,648,256,92,106101,50460,2,82,7,1,31102,1,0,1,0,0,0,1473(6)
1191,ミミック,みみっく,51,5246,49,120,20,15,199,0,309,22,63,15,2885,1836,1,60,0,0,0,1,0,1,0,0,0,
1192,レイス,れいす,53,8927,42,26,30,55,76,5,227,61,80,10,1068,571,2,89,1,0,0,1,0,1,0,0,0,
1193,アラーム,あらーむ,62,4496,30,12,14,5,23,3,630,117,148,3,1671,1332,1,60,0,0,0,1,0,1,0,0,0,
1194,アクラウス,あくらうす,139,635207,60,56,45,35,40,15,2216,40,51,36,332149,272440,0,42,4,0,0,1,0,1,0,0,0,
1195,ライドワード,らいどわーど,59,9975,27,53,32,44,104,5,315,22,61,38,979,1287,0,60,0,0,0,1,0,1,0,0,0,
1196,スケルプリズナー,すけるぷりずなー,72,14449,70,35,60,20,71,15,344,55,95,7,1514,1031,1,69,1,0,0,1,0,0,0,0,0,
1197,ゾンビプリズナー,ぞんびぷりずなー,73,15669,74,39,58,5,68,10,358,60,89,8,1601,1103,1,69,1,0,0,1,0,0,0,0,0,
1198,ダークプリースト,だーくぷりーすと,120,101114,5,60,41,89,78,42,1121,199,56,30,51114,38557,1,89,6,0,0,1,0,0,0,0,0,
1199,パンク,ぱんく,41,1747,10,51,4,4,14,1,203,54,8,5,382,359,0,24,3,0,0,1,0,1,0,0,0,
1200,ジルタス,じるたす,70,25686,88,61,51,62,113,60,528,180,91,99,21590,7150,1,60,7,0,0,1,0,0,0,0,0,1257(3)
1201,リビオ,りびお,71,11204,96,52,61,30,73,10,880,76,109,11,4410,1948,2,40,6,0,0,1,0,0,0,0,0,
1202,フェンダーク,ふぇんだーく,73,19481,111,65,71,20,91,30,878,75,307,50,5829,2552,2,40,7,0,0,1,0,0,0,0,0,
1203,ミステルテイン,みすてるていん,89,100050,102,139,62,65,130,65,973,567,73,61,16155,8696,2,87,0,1,0,1,0,1,0,0,0,
