ID,アイテム名,素材アイテムなし,完成数,手数料,材料ID,材料,個数,where,NPC,座標,名称,前提クエ,備考
2772,グロリアスリング,0,1,,6365,アリーナコイン,2000,yuno,グロリアス,353-38,リンクシステム,,
2773,グロリアス量産型リング,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2774,グロリアス普及用リング,0,1,,6365,アリーナコイン,20,yuno,グロリアス,353-38,リンクシステム,,
1187,グロリアスクレイモア,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1281,グロリアスブラッディロア,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1282,グロリアスジャマダハル,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1310,グロリアスクリーヴァー,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1382,グロリアスツーハンドアックス,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1426,グロリアススピア,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1486,グロリアスランス,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1546,グロリアスモーニングスター,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1576,グロリアスタブレット,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1577,グロリアス黙示録,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1640,グロリアスアークワンド,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1641,グロリアス治癒の杖,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1743,グロリアスハンターボウ,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1826,グロリアスクロー,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1827,グロリアスフィスト,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1927,グロリアスギター,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1981,グロリアスラリエット,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2002,グロリアスウィザードスタッフ,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13042,グロリアスダマスカス,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13110,グロリアスハンドガン,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13176,グロリアスライフル,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13177,グロリアスガトリングガン,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13178,グロリアスショットガン,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13179,グロリアスグレネードガン,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13307,グロリアス風魔手裏剣,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13416,グロリアスフランベルジェ,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13417,グロリアスレイピア,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13418,グロリアスホーリーアヴェンジャー,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2394,グロリアススーツ,0,1,,6366,ターボトラックコイン,400,yuno,グロリアス,353-38,リンクシステム,,
2395,グロリアス量産型スーツ,0,1,,6366,ターボトラックコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2396,グロリアス普及用スーツ,0,1,,6366,ターボトラックコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2444,グロリアスシューズ,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2445,グロリアス量産型シューズ,0,1,,6366,ターボトラックコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2446,グロリアス普及用シューズ,0,1,,6366,ターボトラックコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2549,グロリアスマフラー,0,1,,6366,ターボトラックコイン,400,yuno,グロリアス,353-38,リンクシステム,,
2772,グロリアスリング,0,1,,6366,ターボトラックコイン,2000,yuno,グロリアス,353-38,リンクシステム,,
2773,グロリアス量産型リング,0,1,,6366,ターボトラックコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2774,グロリアス普及用リング,0,1,,6366,ターボトラックコイン,20,yuno,グロリアス,353-38,リンクシステム,,
1187,グロリアスクレイモア,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1281,グロリアスブラッディロア,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1282,グロリアスジャマダハル,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1310,グロリアスクリーヴァー,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1382,グロリアスツーハンドアックス,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1426,グロリアススピア,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1486,グロリアスランス,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1546,グロリアスモーニングスター,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1576,グロリアスタブレット,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1577,グロリアス黙示録,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1640,グロリアスアークワンド,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1641,グロリアス治癒の杖,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1743,グロリアスハンターボウ,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1826,グロリアスクロー,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1827,グロリアスフィスト,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1927,グロリアスギター,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
1981,グロリアスラリエット,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
2002,グロリアスウィザードスタッフ,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13042,グロリアスダマスカス,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13110,グロリアスハンドガン,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13176,グロリアスライフル,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13177,グロリアスガトリングガン,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13178,グロリアスショットガン,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13179,グロリアスグレネードガン,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13307,グロリアス風魔手裏剣,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13416,グロリアスフランベルジェ,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13417,グロリアスレイピア,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
13418,グロリアスホーリーアヴェンジャー,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
2394,グロリアススーツ,0,1,,6368,エンドレスタワーコイン,300,yuno,グロリアス,353-38,リンクシステム,,
2395,グロリアス量産型スーツ,0,1,,6368,エンドレスタワーコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2396,グロリアス普及用スーツ,0,1,,6368,エンドレスタワーコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2444,グロリアスシューズ,0,1,,6368,エンドレスタワーコイン,300,yuno,グロリアス,353-38,リンクシステム,,
2445,グロリアス量産型シューズ,0,1,,6368,エンドレスタワーコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2446,グロリアス普及用シューズ,0,1,,6368,エンドレスタワーコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2549,グロリアスマフラー,0,1,,6368,エンドレスタワーコイン,300,yuno,グロリアス,353-38,リンクシステム,,
2772,グロリアスリング,0,1,,6368,エンドレスタワーコイン,1000,yuno,グロリアス,353-38,リンクシステム,,
2773,グロリアス量産型リング,0,1,,6368,エンドレスタワーコイン,150,yuno,グロリアス,353-38,リンクシステム,,
2774,グロリアス普及用リング,0,1,,6368,エンドレスタワーコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1187,グロリアスクレイモア,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1281,グロリアスブラッディロア,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1282,グロリアスジャマダハル,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1310,グロリアスクリーヴァー,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1382,グロリアスツーハンドアックス,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1426,グロリアススピア,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1486,グロリアスランス,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1546,グロリアスモーニングスター,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1576,グロリアスタブレット,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1577,グロリアス黙示録,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1640,グロリアスアークワンド,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1641,グロリアス治癒の杖,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1743,グロリアスハンターボウ,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1826,グロリアスクロー,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1827,グロリアスフィスト,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1927,グロリアスギター,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
1981,グロリアスラリエット,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2002,グロリアスウィザードスタッフ,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13042,グロリアスダマスカス,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13110,グロリアスハンドガン,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13176,グロリアスライフル,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13177,グロリアスガトリングガン,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13178,グロリアスショットガン,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13179,グロリアスグレネードガン,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13307,グロリアス風魔手裏剣,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13416,グロリアスフランベルジェ,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13417,グロリアスレイピア,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
13418,グロリアスホーリーアヴェンジャー,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2394,グロリアススーツ,0,1,,6367,カプラコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2395,グロリアス量産型スーツ,0,1,,6367,カプラコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2396,グロリアス普及用スーツ,0,1,,6367,カプラコイン,5,yuno,グロリアス,353-38,リンクシステム,,
2444,グロリアスシューズ,0,1,,6367,カプラコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2445,グロリアス量産型シューズ,0,1,,6367,カプラコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2446,グロリアス普及用シューズ,0,1,,6367,カプラコイン,5,yuno,グロリアス,353-38,リンクシステム,,
2549,グロリアスマフラー,0,1,,6367,カプラコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2772,グロリアスリング,0,1,,6367,カプラコイン,800,yuno,グロリアス,353-38,リンクシステム,,
2773,グロリアス量産型リング,0,1,,6367,カプラコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2774,グロリアス普及用リング,0,1,,6367,カプラコイン,5,yuno,グロリアス,353-38,リンクシステム,,
2574,ウルズマント,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2575,ペオースマント,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2577,サバフのフード,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2578,ナブのフード,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2580,白羽のマント,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2581,黒羽のマント,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2569,慈愛のショール,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2570,審判のショール,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2467,ゴールデンロッドシューズ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2468,アクアシューズ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2469,クリムゾンシューズ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2470,フォレストシューズ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2471,慈愛の靴,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2472,審判の靴,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2475,ウルズグリーブ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2476,ペオースグリーブ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2477,サバフのシューズ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2478,ナブのシューズ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2479,白羽のブーツ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2480,黒羽のブーツ [1],0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15030,審判のローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15029,慈愛のローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15025,ゴールデンロッドローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15026,アクアローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15027,クリムゾンローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
15028,フォレストローブ,0,1,,6380,モーラコイン,20,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2007,ゴールデンロッドスタッフ [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2008,アクアスタッフ [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2009,クリムゾンスタッフ [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2010,フォレストスタッフ [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
1657,慈愛の杖 [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
16013,審判のメイス [2],0,1,,6380,モーラコイン,50,mora,アーティファクト管理人,152-97,アーティファクト交換,,
2011,ゴールデンロッドスタッフⅡ [1],0,1,,2007,ゴールデンロッドスタッフ [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ1段階目：IorD+1,要エンチャ2段階目：IorD+2"
2012,アクアスタッフⅡ [1],0,1,,2008,アクアスタッフ [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ1段階目：IorD+1,要エンチャ2段階目：IorD+2"
2013,クリムゾンスタッフⅡ [1],0,1,,2009,クリムゾンスタッフ [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ1段階目：IorD+1,要エンチャ2段階目：IorD+2"
2014,フォレストスタッフⅡ [1],0,1,,2010,フォレストスタッフ [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ1段階目：IorD+1,要エンチャ2段階目：IorD+2"
1660,慈愛の杖Ⅱ [1],0,1,,1657,慈愛の杖 [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ：I1I2 or I1D2 orI1V2 or D1I2 or D1D2 or V1I2"
16018,審判のメイスⅡ [1],0,1,,16013,審判のメイス [2],1,mora,アーティファクト管理人,152-97,アーティファクト交換,,"要精錬値：+7,要エンチャ1段階目：IorSorD+1,要エンチャ2段階目：IorSor D+2"
13069,アズールネイル,0,1,,6470,真紅の渇き,25,lightalzen,変な老人,342-291,生体工学研究所,,
13070,スカーレットネイル,0,1,,6470,真紅の渇き,25,lightalzen,変な老人,342-291,生体工学研究所,,
1435,キャノンスピア [1],0,1,,6470,真紅の渇き,15,lightalzen,変な老人,342-291,生体工学研究所,,
1490,ギガントランス,0,1,,6470,真紅の渇き,100,lightalzen,変な老人,342-291,生体工学研究所,,
1392,イグニスステイル [1],0,1,,6470,真紅の渇き,25,lightalzen,変な老人,342-291,生体工学研究所,,
1393,エンドセクション [1],0,1,,6470,真紅の渇き,25,lightalzen,変な老人,342-291,生体工学研究所,,
18109,カタパルト [2],0,1,,6470,真紅の渇き,50,lightalzen,変な老人,342-291,生体工学研究所,,
18110,大型クロスボウ [2],0,1,,6470,真紅の渇き,50,lightalzen,変な老人,342-291,生体工学研究所,,
